observation_id,gbifID,decimalLatitude,decimalLongitude,bdticm,bldfie,cecsol,clyppt,orcdrc,phihox,sltppt,sndppt
1103124405,1103124405,45.34671,5.49046,1652,1381,22,24,21,68,41,34
1103136241,1103136241,45.52671,5.49854,1991,1224,17,24,23,63,41,36
1103164594,1103164594,45.3521,5.23517,2550,1433,16,21,17,68,46,33
1103170911,1103170911,45.35457,5.10751,1639,1439,17,21,19,69,41,37
1103177255,1103177255,45.23331,6.37806,1818,1059,26,15,67,55,36,50
1103187368,1103187368,43.90121,5.67647,2156,1328,17,25,21,67,39,37
1103196043,1103196043,45.16381,5.60965,1617,1110,25,19,43,59,34,47
1103223682,1103223682,45.89467,5.12816,2419,1406,17,20,18,66,53,28
1103229629,1103229629,45.35909,4.85216,1838,1403,15,21,19,67,44,35
1103236979,1103236979,45.43671,5.49449,1917,1329,16,20,25,64,44,36
1103269365,1103269365,44.06403,6.30867,1802,1297,24,27,25,72,40,34
1103272594,1103272594,45.13943,6.49973,1322,1108,27,10,65,56,40,51
1103290690,1103290690,45.51064,6.13859,2362,1250,21,26,35,63,41,33
1103294345,1103294345,44.98947,5.34764,1586,1071,28,20,79,59,36,43
1103296844,1103296844,45.16671,5.48243,1031,1009,25,23,47,58,39,38
1103398690,1103398690,44.1769,5.43919,2343,1345,19,26,19,75,39,34
1103410728,1103410728,44.97081,6.10835,1989,1126,23,11,79,60,32,57
1103417050,1103417050,45.07672,5.47844,1358,1057,31,25,64,59,40,35
1103433251,1103433251,45.807,4.99598,2260,1401,16,22,17,68,37,41
1103442385,1103442385,46.06953,5.39379,2148,1283,20,25,31,61,46,29
1103443819,1103443819,45.89216,5.25707,2335,1387,14,18,16,65,45,37
1103445128,1103445128,46.15954,5.39772,1966,1281,19,21,33,63,48,31
1103448213,1103448213,45.52379,5.62658,1858,1294,17,21,24,63,38,40
1103454168,1103454168,43.81127,5.67225,1566,1383,19,26,23,77,41,33
1103454847,1103454847,46.15673,5.52724,1377,1255,25,30,33,59,39,31
1103457273,1103457273,45.25075,5.74127,1816,1240,20,23,39,63,39,39
1103460659,1103460659,46.06673,5.5231,1617,1193,22,26,37,60,43,30
